movieId,ml_title,ml_year,ml_genres,douban_url,douban_genres,douban_country,douban_rating,douban_votes
1,Toy Story,1995,Animation|Children's|Comedy,https://movie.douban.com/subject/1291575/,喜剧 / 动画 / 家庭,美国,8.6,422721.0
2,Jumanji,1995,Adventure|Children's|Fantasy,https://movie.douban.com/subject/1294990/,动作 / 奇幻 / 冒险,美国,8.2,144497.0
6,Heat,1995,Action|Crime|Thriller,https://movie.douban.com/subject/1295686/,剧情 / 动作 / 惊悚 / 犯罪,美国,8.5,148280.0
10,GoldenEye,1995,Action|Adventure|Thriller,https://movie.douban.com/subject/1292677/,动作 / 惊悚 / 冒险,英国 / 美国,7.6,51222.0
11,"American President, The",1995,Comedy|Drama|Romance,https://movie.douban.com/subject/1293740/,剧情 / 喜剧 / 爱情,美国,6.8,2759.0
16,Casino,1995,Drama|Thriller,https://movie.douban.com/subject/1299799/,剧情 / 传记 / 犯罪,美国 / 法国,8.3,56011.0
17,Sense and Sensibility,1995,Drama|Romance,https://movie.douban.com/subject/1299193/,剧情 / 爱情,美国 / 英国,8.4,158407.0
21,Get Shorty,1995,Action|Comedy|Drama,https://movie.douban.com/subject/1293335/,喜剧 / 惊悚 / 犯罪,美国,7.2,5328.0
24,Powder,1995,Drama|Sci-Fi,https://movie.douban.com/subject/1300549/,剧情 / 奇幻,美国,8.1,11289.0
25,Leaving Las Vegas,1995,Drama|Romance,https://movie.douban.com/subject/1293596/,剧情 / 爱情,美国,8.0,39346.0
32,Twelve Monkeys,1995,Drama|Sci-Fi,https://movie.douban.com/subject/1298744/,科幻 / 悬疑 / 惊悚,美国,8.2,254574.0
34,Babe,1995,Children's|Comedy|Drama,https://movie.douban.com/subject/1292765/,剧情 / 喜剧,澳大利亚 / 美国,8.2,18374.0
36,Dead Man Walking,1995,Drama,https://movie.douban.com/subject/1292703/,剧情 / 犯罪,英国 / 美国,7.8,10223.0
39,Clueless,1995,Comedy|Romance,https://movie.douban.com/subject/1295295/,喜剧 / 爱情,美国,7.7,49162.0
47,Seven (Se7en),1995,Crime|Thriller,https://movie.douban.com/subject/1292223/,剧情 / 悬疑 / 惊悚 / 犯罪,美国,8.8,1049048.0
50,"Usual Suspects, The",1995,Crime|Thriller,https://movie.douban.com/subject/1292214/,悬疑 / 惊悚 / 犯罪,德国 / 美国,8.6,286676.0
70,From Dusk Till Dawn,1996,Action|Comedy|Crime|Horror|Thriller,https://movie.douban.com/subject/1301409/,动作 / 恐怖 / 犯罪,美国,7.5,72851.0
95,Broken Arrow,1996,Action|Thriller,https://movie.douban.com/subject/1293317/,动作 / 惊悚 / 犯罪,美国,7.3,46994.0
104,Happy Gilmore,1996,Comedy,https://movie.douban.com/subject/1292647/,喜剧 / 运动,美国,6.7,3054.0
110,Braveheart,1995,Action|Drama|War,https://movie.douban.com/subject/1294639/,剧情 / 动作 / 传记 / 历史 / 战争,美国,8.9,601238.0
111,Taxi Driver,1976,Drama|Thriller,https://movie.douban.com/subject/1292222/,剧情 / 犯罪,美国,8.6,249971.0
141,"Birdcage, The",1996,Comedy,https://movie.douban.com/subject/1300331/,喜剧 / 同性,美国,7.9,2128.0
150,Apollo 13,1995,Drama,https://movie.douban.com/subject/1293785/,剧情 / 历史 / 冒险,美国,8.1,39416.0
153,Batman Forever,1995,Action|Adventure|Comedy|Crime,https://movie.douban.com/subject/1295638/,动作 / 冒险,美国 / 英国,6.7,34397.0
161,Crimson Tide,1995,Drama|Thriller|War,https://movie.douban.com/subject/1295363/,剧情 / 动作 / 惊悚,美国,8.1,15581.0
165,Die Hard: With a Vengeance,1995,Action|Thriller,https://movie.douban.com/subject/1299837/,动作 / 惊悚 / 冒险,美国,7.9,60302.0
198,Strange Days,1995,Action|Crime|Sci-Fi,https://movie.douban.com/subject/1293932/,剧情 / 科幻 / 惊悚 / 犯罪,美国,7.2,4743.0
208,Waterworld,1995,Action|Adventure,https://movie.douban.com/subject/1294037/,动作 / 科幻 / 惊悚 / 冒险,美国,7.6,93331.0
223,Clerks,1994,Comedy,https://movie.douban.com/subject/1298320/,喜剧,美国,8.1,24012.0
231,Dumb & Dumber,1994,Comedy,https://movie.douban.com/subject/1296454/,喜剧,美国,7.4,48770.0
235,Ed Wood,1994,Comedy|Drama,https://movie.douban.com/subject/1293683/,剧情 / 喜剧 / 传记,美国,8.2,27698.0
246,Hoop Dreams,1994,Documentary,https://movie.douban.com/subject/1297797/,剧情 / 纪录片 / 运动,美国,8.6,2013.0
253,Interview with the Vampire,1994,Drama|Horror,https://movie.douban.com/subject/35700390/,剧情 / 恐怖 / 同性 / 奇幻,美国,8.5,12954.0
260,Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Fantasy|Sci-Fi,https://movie.douban.com/subject/1293838/,动作 / 科幻 / 冒险,美国,8.5,158375.0
265,Like Water for Chocolate (Como agua para chocolate),1992,Drama|Romance,https://movie.douban.com/subject/1292831/,剧情 / 爱情,墨西哥,7.5,5786.0
266,Legends of the Fall,1994,Drama|Romance|War|Western,https://movie.douban.com/subject/1295865/,剧情 / 爱情 / 战争 / 西部,美国,8.7,315637.0
288,Natural Born Killers,1994,Action|Thriller,https://movie.douban.com/subject/1292229/,剧情 / 动作 / 犯罪,美国,7.9,123086.0
292,Outbreak,1995,Action|Drama|Thriller,https://movie.douban.com/subject/1301419/,剧情 / 惊悚 / 灾难,美国,7.7,44922.0
293,"Professional, The (a.k.a. Leon: The Professional)",1994,Crime|Drama|Romance|Thriller,https://movie.douban.com/subject/1295644/,剧情 / 动作 / 犯罪,法国 / 美国,9.4,2522210.0
296,Pulp Fiction,1994,Crime|Drama,https://movie.douban.com/subject/1291832/,剧情 / 喜剧 / 犯罪,美国,8.9,945634.0
300,Quiz Show,1994,Drama,https://movie.douban.com/subject/1292759/,剧情 / 历史,美国,8.0,10433.0
316,Stargate,1994,Action|Adventure|Sci-Fi,https://movie.douban.com/subject/1302209/,动作 / 科幻 / 奇幻 / 冒险,法国 / 美国,7.2,20239.0
317,"Santa Clause, The",1994,Children's|Comedy|Fantasy,https://movie.douban.com/subject/1857088/,喜剧 / 家庭 / 奇幻 / 冒险,美国,6.4,449.0
318,"Shawshank Redemption, The",1994,Drama,https://movie.douban.com/subject/1292052/,剧情 / 犯罪,美国,9.7,3235984.0
329,Star Trek: Generations,1994,Action|Adventure|Sci-Fi,https://movie.douban.com/subject/1293904/,动作 / 科幻 / 悬疑 / 惊悚,美国,7.2,7486.0
337,What's Eating Gilbert Grape,1993,Drama,https://movie.douban.com/subject/1301617/,剧情 / 爱情 / 家庭,美国,8.6,150333.0
339,While You Were Sleeping,1995,Comedy|Romance,https://movie.douban.com/subject/1295899/,喜剧 / 爱情,美国,7.8,25332.0
344,Ace Ventura: Pet Detective,1994,Comedy,https://movie.douban.com/subject/1292829/,喜剧 / 动作 / 悬疑,美国,7.4,47345.0
349,Clear and Present Danger,1994,Action|Adventure|Thriller,https://movie.douban.com/subject/1292822/,剧情 / 动作 / 惊悚,美国,7.1,6540.0
353,"Crow, The",1994,Action|Romance|Thriller,https://movie.douban.com/subject/30199515/,动画 / 短片,美国,7.1,177.0
356,Forrest Gump,1994,Comedy|Romance|War,https://movie.douban.com/subject/1292720/,剧情 / 爱情,美国,9.5,2397807.0
357,Four Weddings and a Funeral,1994,Comedy|Romance,https://movie.douban.com/subject/1294950/,剧情 / 喜剧 / 爱情,英国,7.4,129035.0
364,"Lion King, The",1994,Animation|Children's|Musical,https://movie.douban.com/subject/36887288/,纪录片 / 音乐,美国,8.1,268.0
367,"Mask, The",1994,Comedy|Crime|Fantasy,https://movie.douban.com/subject/1871290/,喜剧 / 惊悚 / 恐怖,美国,6.1,1031.0
368,Maverick,1994,Action|Comedy|Western,https://movie.douban.com/subject/1294962/,喜剧 / 西部 / 冒险,美国,7.5,4089.0
377,Speed,1994,Action|Romance|Thriller,https://movie.douban.com/subject/1293167/,动作 / 惊悚 / 犯罪 / 冒险,美国,8.2,132590.0
380,True Lies,1994,Action|Adventure|Comedy|Romance,https://movie.douban.com/subject/1292553/,喜剧 / 动作 / 惊悚,美国,8.3,171059.0
434,Cliffhanger,1993,Action|Adventure|Crime,https://movie.douban.com/subject/1293952/,动作 / 惊悚 / 冒险,美国 / 意大利 / 法国,7.6,10308.0
440,Dave,1993,Comedy|Romance,https://movie.douban.com/subject/1292871/,喜剧 / 爱情,美国,7.5,3444.0
441,Dazed and Confused,1993,Comedy,https://movie.douban.com/subject/1294720/,剧情 / 喜剧,美国,7.2,5852.0
442,Demolition Man,1993,Action|Sci-Fi,https://movie.douban.com/subject/1297650/,动作 / 科幻 / 犯罪,美国,6.8,7188.0
454,"Firm, The",1993,Drama|Thriller,https://movie.douban.com/subject/1294537/,剧情 / 惊悚,美国,7.3,6170.0
457,"Fugitive, The",1993,Action|Thriller,https://movie.douban.com/subject/36111497/,纪录片,美国,7.3,434.0
474,In the Line of Fire,1993,Action|Thriller,https://movie.douban.com/subject/1295733/,剧情 / 动作 / 惊悚,美国,7.3,7731.0
480,Jurassic Park,1993,Action|Adventure|Sci-Fi,https://movie.douban.com/subject/1292523/,科幻 / 惊悚 / 冒险,美国,8.3,352063.0
497,Much Ado About Nothing,1993,Comedy|Romance,https://movie.douban.com/subject/1296091/,剧情 / 喜剧 / 爱情,英国 / 美国,7.4,3193.0
500,Mrs. Doubtfire,1993,Comedy,https://movie.douban.com/subject/1295006/,剧情 / 喜剧 / 家庭,美国,7.9,17760.0
509,"Piano, The",1993,Drama|Romance,https://movie.douban.com/subject/2340858/,动画,日本,6.8,108.0
527,Schindler's List,1993,Drama|War,https://movie.douban.com/subject/1295124/,剧情 / 历史 / 战争,美国,9.5,1231723.0
529,Searching for Bobby Fischer,1993,Drama,https://movie.douban.com/subject/1298591/,剧情 / 喜剧,美国,8.2,6981.0
539,Sleepless in Seattle,1993,Comedy|Romance,https://movie.douban.com/subject/1298128/,剧情 / 喜剧 / 爱情,美国,7.9,240191.0
541,Blade Runner,1982,Film-Noir|Sci-Fi,https://movie.douban.com/subject/1291839/,科幻 / 惊悚,美国,8.6,301520.0
543,So I Married an Axe Murderer,1993,Comedy|Romance|Thriller,https://movie.douban.com/subject/1293496/,喜剧 / 爱情 / 惊悚 / 犯罪,美国,6.0,554.0
551,"Nightmare Before Christmas, The",1993,Children's|Comedy|Musical,https://movie.douban.com/subject/1297131/,动画 / 音乐 / 奇幻,美国,8.2,119990.0
555,True Romance,1993,Action|Crime|Romance,https://movie.douban.com/subject/1295324/,爱情 / 惊悚 / 犯罪,美国 / 法国,8.0,16121.0
586,Home Alone,1990,Children's|Comedy,https://movie.douban.com/subject/1293088/,喜剧 / 家庭 / 犯罪,美国,8.5,465958.0
587,Ghost,1990,Comedy|Romance|Thriller,https://movie.douban.com/subject/1293203/,剧情 / 爱情 / 奇幻,美国,8.3,223219.0
588,Aladdin,1992,Animation|Children's|Comedy|Musical,https://movie.douban.com/subject/26891256/,爱情 / 歌舞 / 奇幻 / 冒险,美国,7.4,322722.0
589,Terminator 2: Judgment Day,1991,Action|Sci-Fi|Thriller,https://movie.douban.com/subject/1291844/,动作 / 科幻,美国 / 法国,8.8,380989.0
590,Dances with Wolves,1990,Adventure|Drama|Western,https://movie.douban.com/subject/1293764/,剧情 / 西部 / 冒险,美国 / 英国,8.9,88980.0
592,Batman,1989,Action|Adventure|Crime|Drama,https://movie.douban.com/subject/1297970/,动作 / 冒险,美国 / 英国,7.5,65589.0
593,"Silence of the Lambs, The",1991,Drama|Thriller,https://movie.douban.com/subject/10463772/,纪录片,美国,8.6,651.0
594,Snow White and the Seven Dwarfs,1937,Animation|Children's|Musical,https://movie.douban.com/subject/1297756/,爱情 / 动画 / 歌舞 / 奇幻,美国,8.4,139835.0
595,Beauty and the Beast,1991,Animation|Children's|Musical,https://movie.douban.com/subject/25900945/,爱情 / 歌舞 / 奇幻,美国,7.1,427839.0
597,Pretty Woman,1990,Comedy|Romance,https://movie.douban.com/subject/1293825/,喜剧 / 爱情,美国,7.9,150009.0
608,Fargo,1996,Crime|Drama|Thriller,https://movie.douban.com/subject/1292067/,剧情 / 惊悚 / 犯罪,美国 / 英国,8.0,115027.0
610,Heavy Metal,1981,Action|Adventure|Animation|Horror|Sci-Fi,https://movie.douban.com/subject/1298377/,动画 / 奇幻 / 冒险,加拿大,7.6,2505.0
648,Mission: Impossible,1996,Action|Adventure|Mystery,https://movie.douban.com/subject/1292484/,动作 / 惊悚 / 冒险,美国,8.3,307691.0
653,Dragonheart,1996,Action|Adventure|Fantasy,https://movie.douban.com/subject/1293417/,剧情 / 动作 / 奇幻 / 冒险,美国,6.9,3655.0
708,"Truth About Cats & Dogs, The",1996,Comedy|Romance,https://movie.douban.com/subject/1301609/,喜剧 / 爱情,美国,7.0,247.0
745,"Close Shave, A",1995,Animation|Comedy|Thriller,https://movie.douban.com/subject/5103361/,动画 / 短片,美国,,
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,Sci-Fi|War,https://movie.douban.com/subject/1322848/,剧情 / 喜剧 / 战争,美国 / 英国,8.9,117155.0
778,Trainspotting,1996,Drama,https://movie.douban.com/subject/1292528/,剧情 / 犯罪,英国,8.6,434907.0
780,Independence Day (ID4),1996,Action|Sci-Fi|War,https://movie.douban.com/subject/1293013/,动作 / 科幻 / 冒险 / 灾难,美国,8.1,313990.0
785,Kingpin,1996,Comedy,https://movie.douban.com/subject/1422998/,喜剧 / 运动,美国,7.0,643.0
788,"Nutty Professor, The",1996,Comedy|Fantasy|Romance|Sci-Fi,https://movie.douban.com/subject/1301787/,喜剧 / 科幻,美国,6.0,2008.0
800,Lone Star,1996,Drama|Mystery,https://movie.douban.com/subject/1296167/,剧情 / 爱情 / 悬疑 / 西部,美国,7.3,1048.0
852,Tin Cup,1996,Comedy|Romance,https://movie.douban.com/subject/1296690/,剧情 / 喜剧 / 爱情 / 运动,美国,7.2,879.0
858,"Godfather, The",1972,Action|Crime|Drama,https://movie.douban.com/subject/5181046/,,巴基斯坦,,
899,Singin' in the Rain,1952,Musical|Romance,https://movie.douban.com/subject/1293460/,喜剧 / 爱情 / 歌舞,美国,9.1,264336.0
902,Breakfast at Tiffany's,1961,Drama|Romance,https://movie.douban.com/subject/1325958/,剧情 / 喜剧 / 爱情,美国,8.1,252586.0
903,Vertigo,1958,Mystery|Thriller,https://movie.douban.com/subject/1297294/,爱情 / 悬疑 / 惊悚,美国,8.7,160489.0
904,Rear Window,1954,Mystery|Thriller,https://movie.douban.com/subject/1299080/,悬疑 / 惊悚,美国,8.7,231350.0
908,North by Northwest,1959,Drama|Thriller,https://movie.douban.com/subject/1295872/,悬疑 / 惊悚 / 冒险,美国,8.3,123825.0
910,Some Like It Hot,1959,Comedy|Crime,https://movie.douban.com/subject/1292574/,喜剧,美国,8.9,81017.0
912,Casablanca,1942,Drama|Romance|War,https://movie.douban.com/subject/1296753/,剧情 / 爱情 / 战争,美国,8.7,240517.0
913,"Maltese Falcon, The",1941,Film-Noir|Mystery,https://movie.douban.com/subject/30288244/,剧情 / 悬疑 / 犯罪,意大利,,
914,My Fair Lady,1964,Musical|Romance,https://movie.douban.com/subject/1297965/,剧情 / 爱情 / 歌舞,美国,8.2,118893.0
919,"Wizard of Oz, The",1939,Adventure|Children's|Drama|Musical,https://movie.douban.com/subject/4072497/,,美国,,
920,Gone with the Wind,1939,Drama|Romance|War,https://movie.douban.com/subject/1300267/,剧情 / 爱情 / 历史 / 战争,美国,9.3,781033.0
923,Citizen Kane,1941,Drama,https://movie.douban.com/subject/1292288/,剧情 / 悬疑,美国,8.8,131597.0
924,2001: A Space Odyssey,1968,Drama|Mystery|Sci-Fi|Thriller,https://movie.douban.com/subject/1292226/,科幻 / 惊悚 / 冒险,英国 / 美国,8.9,388968.0
953,It's a Wonderful Life,1946,Drama,https://movie.douban.com/subject/1293749/,剧情 / 爱情 / 奇幻,美国,9.2,115715.0
968,Night of the Living Dead,1968,Horror|Sci-Fi,https://movie.douban.com/subject/1297996/,悬疑 / 恐怖,美国,7.4,11333.0
969,"African Queen, The",1951,Action|Adventure|Romance|War,https://movie.douban.com/subject/1418997/,剧情 / 爱情 / 战争 / 冒险,英国 / 美国,7.6,4363.0
1028,Mary Poppins,1964,Children's|Comedy|Musical,https://movie.douban.com/subject/1292658/,喜剧 / 歌舞 / 奇幻,美国,8.2,12655.0
1035,"Sound of Music, The",1965,Musical,https://movie.douban.com/subject/2268861/,,澳大利亚,,
1036,Die Hard,1988,Action|Thriller,https://movie.douban.com/subject/1292697/,动作 / 惊悚 / 犯罪,美国,8.2,91579.0
1037,"Lawnmower Man, The",1992,Action|Sci-Fi|Thriller,https://movie.douban.com/subject/1301288/,动作 / 科幻 / 恐怖,英国 / 美国 / 日本,6.9,1256.0
1060,Swingers,1996,Comedy|Drama,https://movie.douban.com/subject/2359372/,剧情 / 爱情,荷兰,5.2,218.0
1073,Willy Wonka and the Chocolate Factory,1971,Adventure|Children's|Comedy|Fantasy,https://movie.douban.com/subject/27046372/,喜剧 / 动画 / 冒险,美国,6.4,2243.0
1077,Sleeper,1973,Comedy|Sci-Fi,https://movie.douban.com/subject/1295086/,剧情 / 惊悚 / 犯罪,美国,7.8,12488.0
1079,"Fish Called Wanda, A",1988,Comedy,https://movie.douban.com/subject/1292440/,喜剧 / 犯罪,美国 / 英国,7.6,28236.0
1080,Monty Python's Life of Brian,1979,Comedy,https://movie.douban.com/subject/1292881/,喜剧,英国,8.0,12635.0
1084,Bonnie and Clyde,1967,Crime|Drama,https://movie.douban.com/subject/1294584/,动作 / 传记 / 犯罪,美国,8.2,55329.0
1088,Dirty Dancing,1987,Musical|Romance,https://movie.douban.com/subject/1293293/,剧情 / 爱情,美国,7.8,7934.0
1089,Reservoir Dogs,1992,Crime|Thriller,https://movie.douban.com/subject/1299603/,惊悚 / 犯罪,美国,8.4,247954.0
1090,Platoon,1986,Drama|War,https://movie.douban.com/subject/1293396/,剧情 / 动作 / 战争,美国 / 英国,8.2,49668.0
1092,Basic Instinct,1992,Mystery|Thriller,https://movie.douban.com/subject/1291869/,剧情 / 悬疑 / 惊悚,美国 / 法国,7.9,175357.0
1093,"Doors, The",1991,Drama|Musical,https://movie.douban.com/subject/5098181/,纪录片 / 音乐,英国,,
1094,"Crying Game, The",1992,Drama|Romance|War,https://movie.douban.com/subject/1298370/,剧情 / 惊悚 / 同性,英国 / 日本,7.7,5937.0
1097,E.T. the Extra-Terrestrial,1982,Children's|Drama|Fantasy|Sci-Fi,https://movie.douban.com/subject/1294638/,剧情 / 科幻,美国,8.6,351584.0
1101,Top Gun,1986,Action|Romance,https://movie.douban.com/subject/1293799/,剧情 / 动作,美国,7.6,120734.0
1127,"Abyss, The",1989,Action|Adventure|Sci-Fi|Thriller,https://movie.douban.com/subject/30475135/,剧情 / 动画 / 冒险,日本,9.0,26524.0
1129,Escape from New York,1981,Action|Adventure|Sci-Fi|Thriller,https://movie.douban.com/subject/1295827/,动作 / 科幻 / 冒险,英国 / 美国,6.5,4551.0
1136,Monty Python and the Holy Grail,1974,Comedy,https://movie.douban.com/subject/1294917/,喜剧 / 奇幻 / 冒险,英国,7.9,23687.0
1148,"Wrong Trousers, The",1993,Animation|Comedy,https://movie.douban.com/subject/1293834/,喜剧 / 动画 / 短片,英国,8.9,16843.0
1172,Cinema Paradiso,1988,Comedy|Drama|Romance,https://movie.douban.com/subject/1291828/,剧情 / 爱情,意大利 / 法国,9.2,733132.0
1179,"Grifters, The",1990,Crime|Drama|Film-Noir,https://movie.douban.com/subject/1296168/,剧情 / 惊悚 / 犯罪,美国,6.4,1443.0
1183,"English Patient, The",1996,Drama|Romance|War,https://movie.douban.com/subject/1291853/,剧情 / 爱情 / 战争,美国 / 英国,8.5,292801.0
1188,Strictly Ballroom,1992,Comedy|Romance,https://movie.douban.com/subject/1306252/,剧情 / 喜剧 / 爱情,澳大利亚,7.3,1254.0
1193,One Flew Over the Cuckoo's Nest,1975,Drama,https://movie.douban.com/subject/1292224/,剧情,美国,9.1,597059.0
1196,Star Wars: Episode V - The Empire Strikes Back,1980,Action|Adventure|Drama|Sci-Fi|War,https://movie.douban.com/subject/1296528/,动作 / 科幻 / 冒险,美国,8.4,117324.0
1197,"Princess Bride, The",1987,Action|Adventure|Comedy|Romance,https://movie.douban.com/subject/35238448/,喜剧 / 短片 / 奇幻,美国,,
1198,Raiders of the Lost Ark,1981,Action|Adventure,https://movie.douban.com/subject/1296717/,动作 / 冒险,美国,7.9,113422.0
1199,Brazil,1985,Sci-Fi,https://movie.douban.com/subject/1293823/,剧情 / 科幻,英国 / 美国,8.1,21479.0
1200,Aliens,1986,Action|Sci-Fi|Thriller|War,https://movie.douban.com/subject/1300868/,科幻 / 惊悚 / 恐怖,英国 / 美国,8.3,314577.0
1201,"Good, The Bad and The Ugly, The",1966,Action|Western,https://movie.douban.com/subject/1401118/,西部 / 冒险,意大利 / 西班牙 / 西德,9.3,140284.0
1203,12 Angry Men,1957,Drama,https://movie.douban.com/subject/1293182/,剧情,美国,9.4,567997.0
1204,Lawrence of Arabia,1962,Adventure|War,https://movie.douban.com/subject/1292349/,剧情 / 传记 / 冒险,英国,8.7,61210.0
1206,"Clockwork Orange, A",1971,Sci-Fi,https://movie.douban.com/subject/1292233/,剧情 / 科幻 / 犯罪,英国 / 美国,8.6,408269.0
1207,To Kill a Mockingbird,1962,Drama,https://movie.douban.com/subject/1297991/,剧情 / 犯罪,美国,8.6,67222.0
1208,Apocalypse Now,1979,Drama|War,https://movie.douban.com/subject/1292260/,剧情 / 战争,美国,8.5,127043.0
1210,Star Wars: Episode VI - Return of the Jedi,1983,Action|Adventure|Romance|Sci-Fi|War,https://movie.douban.com/subject/1297151/,动作 / 科幻 / 奇幻 / 冒险,美国,8.4,106770.0
1213,GoodFellas,1990,Crime|Drama,https://movie.douban.com/subject/1292268/,剧情 / 传记 / 犯罪,美国,8.5,137739.0
1214,Alien,1979,Action|Horror|Sci-Fi|Thriller,https://movie.douban.com/subject/1300868/,科幻 / 惊悚 / 恐怖,英国 / 美国,8.3,314577.0
1215,Army of Darkness,1993,Action|Adventure|Comedy|Horror|Sci-Fi,https://movie.douban.com/subject/1299111/,喜剧 / 恐怖 / 奇幻,美国,7.0,9773.0
1219,Psycho,1960,Horror|Thriller,https://movie.douban.com/subject/1293181/,悬疑 / 惊悚 / 恐怖,美国,9.0,350626.0
1220,"Blues Brothers, The",1980,Action|Comedy|Musical,https://movie.douban.com/subject/35752760/,剧情 / 动画 / 音乐,美国,,
1221,"Godfather: Part II, The",1974,Action|Crime|Drama,https://movie.douban.com/subject/1299131/,剧情 / 犯罪,美国,9.3,628738.0
1222,Full Metal Jacket,1987,Action|Drama|War,https://movie.douban.com/subject/1300055/,剧情 / 战争,英国 / 美国,8.6,152357.0
1225,Amadeus,1984,Drama,https://movie.douban.com/subject/1293399/,剧情 / 音乐 / 传记,美国 / 法国,8.7,102019.0
1228,Raging Bull,1980,Drama,https://movie.douban.com/subject/1293155/,剧情 / 传记 / 运动,美国,8.4,64952.0
